Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,phc_updated,transfer_1_updated,transfer_2_updated,transfer_3_updated
Prakash Chandra Verma,Male,1951-01-12T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2013-01-12T00:00:00Z,No,No,Allahabad,Yes,Uttarakhand,2000-11-09T00:00:00Z,Allahabad,2009-02-04T00:00:00Z,Patna,2011-04-08T00:00:00Z,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Science,Lucknow University,1975,1976,Uttar Pradesh,No,No,No,Patna,Allahabad,Uttarakhand,Allahabad,Patna
Pramod Kumar Sarin,Male,1936-11-27T00:00:00Z,NA,NA,1994-02-01T00:00:00Z,1998-11-27T00:00:00Z,No,No,Allahabad,Yes,Patna,1994-02-21T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Patna,Allahabad,Patna,NA,NA
Prasun Kumar Deb,Male,NA,NA,NA,1994-02-14T00:00:00Z,2003-10-01T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
R.N. Prasad,Male,1944-08-04T00:00:00Z,Bihar,Madanpur,1990-07-27T00:00:00Z,2006-08-04T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,NA,Arts,NA,NA,1967,NA,No,No,No,Patna,Patna,NA,NA,NA
R.N. Sahay,Male,NA,NA,NA,1990-07-10T00:00:00Z,2000-05-21T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
Radha Mohan Prasad,Male,NA,NA,NA,1991-12-02T00:00:00Z,2006-07-12T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
Rajeev Ranjan Prasad,Male,1966-09-05T00:00:00Z,Bihar,"Tarhari, Lakhisarai",2017-05-22T00:00:00Z,2028-09-04T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,NA,Patna University,Commerce,"Campus Law Centre, Delhi University",1991,NA,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Rajendra Kumar Mishra,Male,1959-10-01T00:00:00Z,Uttar Pradesh,NA,2011-06-20T00:00:00Z,2021-09-30T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Rashtriya Degree College,Science,Allahabad University,NA,1986,Uttar Pradesh,No,No,No,Patna,Patna,NA,NA,NA
Rajendra Mal Lodha,Male,1949-09-28T00:00:00Z,Rajasthan,Jodhpur,1994-01-31T00:00:00Z,2014-09-27T00:00:00Z,No,No,Rajasthan,Yes,Bombay,1994-02-16T00:00:00Z,Rajasthan,2007-02-02T00:00:00Z,NA,NA,Yes,Patna,NA,NA,Yes,2008-12-17T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,NA,NA,Science,University of Jodhpur,NA,1973,Rajasthan,No,No,No,Patna,Rajasthan,Bombay,Rajasthan,NA
Rajendra Menon,Male,1957-06-07T00:00:00Z,NA,NA,2002-04-01T00:00:00Z,2019-07-06T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Patna,Delhi,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,No,NA,"Government Science College, Jabalpur",Science,"NSE Law College, Jabalpur",1981,NA,Madhya Pradesh,No,No,No,Patna,MadhyaPradesh,NA,NA,NA
Rajendra Prasad,Male,NA,NA,NA,2002-09-09T00:00:00Z,2006-01-01T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
Rajesh Balia,Male,1946-03-03T00:00:00Z,NA,NA,1991-10-21T00:00:00Z,2008-03-03T00:00:00Z,No,No,Rajasthan,Yes,Gujarat,1994-06-24T00:00:00Z,Rajasthan,1999-12-14T00:00:00Z,NA,NA,Yes,Patna,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,NA,Commerce.,NA,NA,1967,Rajasthan,No,No,No,Patna,Rajasthan,Gujarat,Rajasthan,NA
Rakesh Kumar,Male,1959-01-01T00:00:00Z,Bihar,NA,2009-12-25T00:00:00Z,2020-12-31T00:00:00Z,No,No,Patna,Yes,Andhra Pradesh HC,2019-11-13T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Commerce,NA,NA,1983,Bihar,No,No,No,Patna,Patna,AndhraPradesh,NA,NA
Ram Avtar Sharma,Male,NA,NA,NA,1997-12-12T00:00:00Z,2000-01-06T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
Ram Kishore Singh,Male,NA,NA,NA,1994-11-08T00:00:00Z,2000-01-13T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
Ramesh Kumar Datta,Male,1955-01-01T00:00:00Z,Bihar,NA,2006-03-06T00:00:00Z,2017-01-01T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Arts (Political Science),NA,NA,1985,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Ramesh Surajmal Garg,Male,1948-06-18T00:00:00Z,NA,NA,1994-12-15T00:00:00Z,2010-06-18T00:00:00Z,No,No,Madhya Pradesh,Yes,Chhattisgarh,2000-10-31T00:00:00Z,Patna,2001-10-31T00:00:00Z,Gujarat,2005-02-26T00:00:00Z,Yes,Gauhati,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,Indore Christian College,NA,NA,NA,1971,1971,Madhya Pradesh,NA,Yes,NA,Patna,MadhyaPradesh,Chhattisgarh,Patna,Gujarat
Ravi Ranjan,Male,1960-12-20T00:00:00Z,Bihar,Patna,2008-07-14T00:00:00Z,2022-12-19T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,Yes,Jharkhand,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,No,NA,"B. N. College, Patna University",Science,"Patna Law College, Patna University",1989,1990,Bihar,No,Yes,No,Patna,Patna,NA,NA,NA
Ravi Swaroop Dhavan,Male,1942-07-22T00:00:00Z,NA,NA,1986-01-09T00:00:00Z,2004-07-22T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1966,Uttar Pradesh,No,No,No,Patna,Allahabad,NA,NA,NA
Rekha Kumari,Female,NA,NA,NA,2005-01-24T00:00:00Z,2008-07-08T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
Rekha Manharlal Doshit,Female,1952-12-13T00:00:00Z,NA,NA,1995-09-18T00:00:00Z,2021-06-20T00:00:00Z,No,No,Gujarat,NA,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Bombay University,Science,"Sir L. A. Shah Law College, Ahmedabad",1976,1977,Gujarat,No,No,No,Patna,Gujarat,NA,NA,NA
S.K. Hom Chaudhari,Male,NA,NA,NA,1994-04-28T00:00:00Z,1996-03-01T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
S.K. Katriar,Male,NA,NA,NA,1999-03-31T00:00:00Z,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
S.M.M. Alam,Male,NA,NA,NA,2005-01-24T00:00:00Z,2009-01-02T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
S.N. Mishra,Male,NA,NA,NA,1991-12-02T00:00:00Z,2001-06-16T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
S.N. Pathak,Male,NA,NA,NA,1999-12-16T00:00:00Z,2003-02-05T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
Sadanand Mukherjee,Male,NA,NA,NA,2005-01-24T00:00:00Z,2008-02-12T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
Samarendra Pratap Singh,Male,1955-08-01T00:00:00Z,Bihar,NA,2006-09-09T00:00:00Z,2017-07-31T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,St. Xavier's High School and St. Micheal's High School,"Patna College, Patna",NA,"Patna Law College, Patna University",NA,1980,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Sanjay Karol,Male,1961-08-23T00:00:00Z,Himachal Pradesh,"Dehra Gopipur, Kangra",2007-03-08T00:00:00Z,2023-08-22T00:00:00Z,No,No,Himachal Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Tripura,Patna,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,No,"St. Edward School, Shimla","Government Degree College, Shimla",History,"H.P. University, Shimla",NA,1968,Himachal Pradesh,No,No,No,Patna,HimachalPradesh,NA,NA,NA
Sanjay Kumar,Male,1960-10-22T00:00:00Z,NA,NA,2017-05-22T00:00:00Z,2022-10-22T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Science,NA,NA,1991,NA,No,Yes,No,Patna,Patna,NA,NA,NA
Sanjay Kumar,Male,1957-01-02T00:00:00Z,NA,NA,2016-12-09T00:00:00Z,2019-01-02T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,Patna,NA,NA,NA
Sanjay Priya,Male,1957-09-04T00:00:00Z,Bihar,NA,2016-12-09T00:00:00Z,2019-09-03T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,Yes,No,No,NA,NA,NA,NA,NA,NA,Patna,NA,NA,NA,Patna,Patna,NA,NA,NA
Satyabrata Sinha,Male,1944-08-08T00:00:00Z,Jharkhand,Dhanbad,1987-03-07T00:00:00Z,2009-08-08T00:00:00Z,No,No,Patna,Yes,Calcutta,1994-05-11T00:00:00Z,NA,NA,NA,NA,Yes,Andhra Pradesh,Delhi,NA,Yes,2002-10-03T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,Patna,Calcutta,NA,NA
Sayed Mohammad Mahfooz Alam,Male,1947-01-02T00:00:00Z,NA,NA,2005-01-24T00:00:00Z,2009-01-02T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Arts,NA,NA,NA,NA,No,No,No,Patna,Patna,NA,NA,NA
Seema Ali Khan,Female,1953-09-02T00:00:00Z,NA,NA,2006-10-09T00:00:00Z,2013-09-04T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1980,Bihar,No,Yes,No,Patna,Patna,NA,NA,NA
Shailesh Kumar Sinha,Male,1952-02-07T00:00:00Z,NA,NA,2006-10-09T00:00:00Z,2014-02-07T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,NA,NA,Science,NA,NA,1952,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Shashank Kumar Singh,Male,NA,NA,NA,1990-07-27T00:00:00Z,2005-10-02T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
Shivaji Pandey,Male,1959-05-08T00:00:00Z,Bihar,Bhagalpur,2011-06-20T00:00:00Z,2021-05-07T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marwari College, Bhagalpur",Science,"T.N.B. College, Bhagalpur",NA,1982,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Shyam Kishore Sharma,Male,1952-07-07T00:00:00Z,NA,NA,2006-05-10T00:00:00Z,2014-07-06T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Science,NA,NA,1979,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Subash Chandra Jha,Male,NA,NA,NA,2006-05-10T00:00:00Z,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
Sudhansu Kumar Das,Male,1898-09-03T00:00:00Z,NA,NA,NA,1963-09-03T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,1956-04-30T00:00:00Z,Service,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Collegiate School,Presidency college,NA,NA,NA,NA,NA,Yes,NA,NA,Patna,Patna,NA,NA,NA
Sudhir Kumar Katriar,Male,1949-12-01T00:00:00Z,NA,NA,1991-03-31T00:00:00Z,2011-12-01T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1973,Bihar,No,Yes,No,Patna,Patna,NA,NA,NA
Sudhir Singh,Male,NA,NA,NA,2015-04-15T00:00:00Z,2027-12-10T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"Vikas Vidyalaya, Ranchi","Patna College, Patna",Political Science,"Patna Law College, Patna University",NA,1991,NA,No,No,No,Patna,Patna,NA,NA,NA
Surinder Sarup,Male,1938-04-21T00:00:00Z,NA,NA,1994-06-20T00:00:00Z,2000-04-21T00:00:00Z,No,No,Punjab and Haryana,Yes,Patna,1994-07-21T00:00:00Z,Himachal Pradesh,1996-04-06T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1962,Punjab and Haryana,No,No,No,Patna,PunjabandHaryana,Patna,HimachalPradesh,NA
Syed Jaffer Imam,Male,NA,Bihar,Patna,NA,1964-01-30T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,1955-01-10T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Patna,Patna,NA,NA,NA
Syed Rafat Alam,Male,1950-08-08T00:00:00Z,NA,NA,1994-11-08T00:00:00Z,2012-08-07T00:00:00Z,No,No,Patna,Yes,Allahabad,1994-11-28T00:00:00Z,NA,NA,NA,NA,Yes,Madhya Pradesh,Allahabad,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"St. Columbus College, Hazaribagh",Arts,"Patna Law College, Patna",NA,1975,Bihar,No,No,No,Patna,Patna,Allahabad,NA,NA
Syed Shah Nayyar Hussain,Male,1951-07-17T00:00:00Z,NA,NA,2004-03-24T00:00:00Z,2013-07-16T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1979,Bihar,No,Yes,No,Patna,Patna,NA,NA,NA
Tarkeshwar Prasad Singh,Male,NA,NA,NA,2002-03-02T00:00:00Z,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
U.P. Singh,Male,NA,NA,NA,1984-02-15T00:00:00Z,1997-12-20T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,NA,NA,NA,NA
Uday Pratap Singh,Male,NA,NA,NA,1984-02-15T00:00:00Z,1997-12-20T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,Yes,Kerala,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,Patna,NA,NA,NA
V.N. Sinha,Male,NA,NA,NA,2004-03-24T00:00:00Z,2015-11-15T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,NA,NA,NA,NA
Vijayendra Nath,Male,1955-08-13T00:00:00Z,Bihar,"Ara,Bhojpur",2011-06-20T00:00:00Z,2017-08-13T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Arts,Patna Law College,NA,1980,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Vijayeshwar Narayan Sinha,Male,1953-11-15T00:00:00Z,Bihar,NA,2004-03-24T00:00:00Z,2015-03-15T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1979,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Vikash Jain,Male,1960-02-18T00:00:00Z,Bihar,Patna,2011-06-20T00:00:00Z,2022-02-17T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,"St. Xavier's High School, Patna; St. Michael's High School, Patna",Patna University,NA,Patna Law College,1986,1986,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Vinod Kumar Sinha,Male,1958-04-23T00:00:00Z,NA,NA,2016-12-09T00:00:00Z,2020-04-22T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,NA,NA,No,NA,NA,NA,"Patna Law College, Patna",1984,NA,Bihar,No,No,No,Patna,Patna,NA,NA,NA
A.B. Saharya,Male,1940-09-15T00:00:00Z,NA,NA,1986-04-24T00:00:00Z,2002-09-14T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,Yes,Punjab and Haryana,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1963,Mysore,NA,NA,NA,PunjabandHaryana,Delhi,NA,NA,NA
Adarsh Kumar Goel,Male,1953-07-07T00:00:00Z,Haryana,Hissar,2001-07-02T00:00:00Z,2014-07-06T00:00:00Z,No,No,Punjab and Haryana,Yes,Gauhati,2011-09-12T00:00:00Z,NA,NA,NA,NA,Yes,Gauhati,Orissa,NA,Yes,2014-07-07T00:00:00Z,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,"Punjab University, Chandigarh",Arts,"Punjab University, Chandigarh",NA,1974,Punjab and Haryana,No,No,No,PunjabandHaryana,PunjabandHaryana,Gauhati,NA,NA
Ajay Kumar Mittal,Male,1958-09-30T00:00:00Z,Chandigarh,NA,2004-01-09T00:00:00Z,2019-05-28T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,Yes,Meghalaya High Court,Madhya Pradesh,NA,No,NA,Bar,No,Yes,NA,NA,Yes,No,No,No,No,NA,"Sri Ram College of Commerce, Delhi University",Commerce,"Faculty of Law, Delhi University",1980,1980,Punjab and Haryana,No,No,No,PunjabandHaryana,PunjabandHaryana,NA,NA,NA
Amar Bir Singh Gill,Male,NA,NA,NA,1994-06-20T00:00:00Z,2003-05-19T00:00:00Z,No,No,Punjab and Haryana,Yes,Allahabad,1994-07-21T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PunjabandHaryana,PunjabandHaryana,Allahabad,NA,NA
Amar Dutt,Male,NA,NA,NA,1999-02-08T00:00:00Z,2006-08-22T00:00:00Z,No,No,NA,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PunjabandHaryana,NA,NA,NA,NA
Amarjeet Chaudhary,Male,NA,NA,NA,1988-06-27T00:00:00Z,1988-09-04T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PunjabandHaryana,PunjabandHaryana,NA,NA,NA
Amrit Lal Bahri,Male,NA,NA,NA,1988-05-04T00:00:00Z,1994-10-26T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PunjabandHaryana,PunjabandHaryana,NA,NA,NA
Anand Parkash Chowdhri,Male,NA,NA,NA,1988-05-04T00:00:00Z,1995-03-31T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PunjabandHaryana,PunjabandHaryana,NA,NA,NA
Arjan Kumar Sikri,Male,1954-03-07T00:00:00Z,NA,NA,1999-07-07T00:00:00Z,2013-04-11T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,Yes,Punjab and Haryana,NA,NA,Yes,2013-04-12T00:00:00Z,Bar,No,Yes,Yes,NA,Yes,No,Yes,No,No,NA,"Shriram College of Commerce, Delhi University",Commerce,"Law Faculty, Delhi University",1977,1977,Delhi,No,No,Yes,PunjabandHaryana,Delhi,NA,NA,NA
A.S. Garg,Male,NA,NA,NA,1999-02-08T00:00:00Z,2001-12-17T00:00:00Z,No,No,NA,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PunjabandHaryana,NA,NA,NA,NA
A.S. Nehra,Male,NA,NA,NA,1990-06-15T00:00:00Z,1997-06-02T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,PunjabandHaryana,PunjabandHaryana,NA,NA,NA
Ashok Bhan,Male,1943-10-02T00:00:00Z,NA,NA,1990-06-15T00:00:00Z,2001-06-17T00:00:00Z,No,No,Punjab and Haryana,Yes,Karnataka,1997-10-07T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,Yes,2001-06-17T00:00:00Z,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,No,NA,NA,NA,NA,NA,1965,Punjab and Haryana,No,No,No,PunjabandHaryana,PunjabandHaryana,Karnataka,NA,NA
